lr=0.002, embed_dim=8, mlp_hidden_dim=64
    epoch=0, train_loss=3.47, val_loss=3.51, val_corr=0.1156, no_imp=0, save=1
    epoch=1, train_loss=3.39, val_loss=3.34, val_corr=0.1687, no_imp=0, save=1
    epoch=2, train_loss=3.26, val_loss=3.07, val_corr=0.2061, no_imp=0, save=1
    epoch=3, train_loss=3.05, val_loss=2.87, val_corr=0.2571, no_imp=0, save=1
    epoch=4, train_loss=2.76, val_loss=2.80, val_corr=0.2533, no_imp=0, save=1
    epoch=5, train_loss=2.97, val_loss=2.79, val_corr=0.2619, no_imp=0, save=1
    epoch=6, train_loss=2.82, val_loss=2.70, val_corr=0.2615, no_imp=0, save=1
    epoch=7, train_loss=2.74, val_loss=2.60, val_corr=0.2746, no_imp=0, save=1
    epoch=8, train_loss=2.74, val_loss=2.56, val_corr=0.2718, no_imp=0, save=1

    mlp_hidden_dim=128
        epoch=0, train_loss=3.47, val_loss=3.49, val_corr=0.1456, no_imp=1, save=0
        epoch=1, train_loss=3.26, val_loss=3.07, val_corr=0.2321, no_imp=0, save=1
        epoch=2, train_loss=3.12, val_loss=3.03, val_corr=0.2522, no_imp=0, save=1
        epoch=3, train_loss=3.06, val_loss=3.02, val_corr=0.2344, no_imp=0, save=1
        epoch=4, train_loss=2.99, val_loss=2.99, val_corr=0.2363, no_imp=0, save=1
        epoch=5, train_loss=2.97, val_loss=2.84, val_corr=0.2686, no_imp=0, save=1
        epoch=6, train_loss=2.80, val_loss=2.73, val_corr=0.2603, no_imp=0, save=1
        epoch=7, train_loss=2.79, val_loss=2.65, val_corr=0.2653, no_imp=0, save=1
        epoch=8, train_loss=2.81, val_loss=2.60, val_corr=0.2578, no_imp=0, save=1
    
    mlp_hidden_dim=256
        epoch=0, train_loss=3.44, val_loss=3.47, val_corr=0.1581, no_imp=1, save=0                                                                                                                                                                                                                                                 
        epoch=1, train_loss=3.33, val_loss=3.19, val_corr=0.1916, no_imp=1, save=0                                                                                                                                                                                                                                                 
        epoch=2, train_loss=3.15, val_loss=3.13, val_corr=0.2053, no_imp=0, save=1                                                                                                                                                                                                                                                 
        epoch=3, train_loss=3.14, val_loss=3.06, val_corr=0.2290, no_imp=0, save=1                                                                                                                                                                                                                                                 
        epoch=4, train_loss=3.24, val_loss=3.00, val_corr=0.2424, no_imp=0, save=1                                                                                                                                                                                                                                                 
        epoch=5, train_loss=3.02, val_loss=2.95, val_corr=0.2397, no_imp=0, save=1                                                                                                                                                                                                                                                 
        epoch=6, train_loss=2.96, val_loss=2.77, val_corr=0.2609, no_imp=0, save=1                                                                                                                                                                                                                                                 
        epoch=7, train_loss=2.81, val_loss=2.63, val_corr=0.2586, no_imp=0, save=1                                                                                                                                                                                                                                                 
        epoch=8, train_loss=2.80, val_loss=2.63, val_corr=0.2420, no_imp=0, save=1                                                                                                                                                                                                                                                 
        epoch=9, train_loss=2.79, val_loss=2.55, val_corr=0.2602, no_imp=0, save=1                                                                                                                                                                                                                                                 
        epoch=10, train_loss=2.80, val_loss=2.51, val_corr=0.2644, no_imp=0, save=1                                                                                                                                                                                                                                                
        epoch=117, train_loss=2.17, val_loss=2.10, val_corr=0.3328, no_imp=0, save=1                                                                                                                                                                                                                                               

        embed_dim=16
            epoch=0, train_loss=3.43, val_loss=3.49, val_corr=0.1133, no_imp=1, save=0
            epoch=1, train_loss=3.38, val_loss=3.29, val_corr=0.1634, no_imp=1, save=0
            epoch=2, train_loss=3.25, val_loss=3.19, val_corr=0.2018, no_imp=0, save=1
